ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,UPC,Dehumidifier Type,Alternate Configuration Type,Dehumidifier Efficiency (Integrated Energy Factor - L/kWh),Dehumidifier Water Removal Capacity (pints/day),Whole-home Dehumidifier Case Volume (cu. ft.),Annual Energy Consumption (kWh/year),Refrigerant Type,Refrigerant with GWP,Refrigerant Charge (ounces),Connected Capable,Connects Using,Connected Features,Date Available on Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2025 Criteria
2473560,"Changsha Fengmaoying Technology Co., Ltd.",VEAGASO,VG360,VG360,,850010663210,Portable Dehumidifier,,1.7,24.93,,,,,,,,,03/10/2023 12:00:00 AM,05/09/2023 12:00:00 AM,United States,ES_1149113_VG360_05042023101400_2846643,No
3531115,"Changsha Fengmaoying Technology Co., Ltd.",VEAGASO,VG370,VG370,,763312080763,Portable Dehumidifier,,1.89,24.32,,,,,,,,,05/08/2024 12:00:00 AM,05/28/2024 12:00:00 AM,"United States, Canada",ES_1149113_VG370_05282024154735_1059554,Yes
3531263,"CHANGSHA YONGYAO TECHNOLOGY CO., LTD.",PLUSCENT,LT260,LT260,,751757618870;751757618887;751757618894;751757618900;751757618917;751757618924;751757618931;751757618948;751757618955;751757618962;751757618979;751757618986;751757618993;751757619006;751757619013;763559829101;763559829118;764544625357;764544625364;764544625425;764544625470;764923458613,Portable Dehumidifier,,1.79,15.68,,,,,,,,,06/04/2024 12:00:00 AM,06/04/2024 12:00:00 AM,"United States, Canada",ES_1150784_LT260_06042024151224_5983502,No
3531266,"CHANGSHA YONGYAO TECHNOLOGY CO., LTD.",PLUSCENT,LT260-B,LT260-B,,751757619174;751757619181;751757619198;751757619204;751757619211;751757619228;751757619235;751757619242;751757619259;751757619266,Portable Dehumidifier,,1.79,15.68,,,,,,,,,06/04/2024 12:00:00 AM,06/04/2024 12:00:00 AM,"United States, Canada",ES_1150784_LT260-B_06042024151654_5852861,No
3531264,"CHANGSHA YONGYAO TECHNOLOGY CO., LTD.",PLUSCENT,LT260-H,LT260-H,,751757619020;751757619037;751757619044;751757619051;751757619068,Portable Dehumidifier,,1.79,15.68,,,,,,,,,06/04/2024 12:00:00 AM,06/04/2024 12:00:00 AM,"United States, Canada",ES_1150784_LT260-H_06042024151633_5059081,No
3531265,"CHANGSHA YONGYAO TECHNOLOGY CO., LTD.",PLUSCENT,LT260-W,LT260-W,,751757619075;751757619082;751757619099;751757619105;751757619112;751757619129;751757619136;751757619143;751757619150;751757619167,Portable Dehumidifier,,1.79,15.68,,,,,,,,,06/04/2024 12:00:00 AM,06/04/2024 12:00:00 AM,"United States, Canada",ES_1150784_LT260-W_06042024151643_2175092,No
4021638,Chuangxiang Huiju（Shenzhen）Technology Co.，Ltd,Wellsle,YDL12P,YDL12P,,850062409347,Portable Dehumidifier,,1.85,12,,413,,,2.1,No,,,04/20/2025 12:00:00 AM,05/14/2025 12:00:00 AM,United States,ES_1151082_YDL12P_05082025092106_2004205,Yes
4021635,Chuangxiang Huiju（Shenzhen）Technology Co.，Ltd,Wellsle,YDL24P,YDL24P,,850062409323,Portable Dehumidifier,,2.01,25,,791,,,3.9,No,,,04/20/2025 12:00:00 AM,05/14/2025 12:00:00 AM,United States,ES_1151082_YDL24P_05082025093034_8913080,Yes
3626794,"CHUANGXIANGZHIJIA（SHENZHEN）TECHNOLOGY CO., LTD.",Hogarlabs,PD08G-20,PD08G-20,,743645318597,Portable Dehumidifier,,1.8,16.01,,,,,,,,,08/29/2024 12:00:00 AM,08/29/2024 12:00:00 AM,"United States, Canada",ES_1148419_PD08G-20_08292024145152_7197628,No
3626795,"CHUANGXIANGZHIJIA（SHENZHEN）TECHNOLOGY CO., LTD.",Hogarlabs,PD08GS-12L,PD08GS-12L,",PD08G2-12,PD08G2-12",743645318597,Portable Dehumidifier,,1.66,9.95,,,,,,,,,08/29/2024 12:00:00 AM,08/29/2024 12:00:00 AM,"United States, Canada",ES_1148419_PD08GS-12L_08292024145259_1000182,No
